Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Further Education College with Residential Accommodation,"North East, Yorkshire and the Humber",North Lincolnshire,Voluntary,48,John Leggott College
Children's home,West Midlands,Staffordshire,Health Authority,6,North Staffordshire Combined Healthcare Nhs Trust
Children's home,North West,Tameside,Private,4,Stepping Stones Childrens Homes Limited
Independent Fostering Agency,East Midlands,Northamptonshire,Private,,Acorn Care & Education
Children's home,North West,Oldham,Private,6,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Private,4,One Step Care Limited
Children's home,London,Redbridge,Private,5,Woodford Children's Services Ltd
Children's home,East Midlands,Derby,Private,5,Blue Mountain Homes Ltd
Children's home,London,Bexley,Private,3,Jamores Limited
Children's home,West Midlands,Wolverhampton,Private,2,Hazelmont Social Care Limited
Children's home,East of England,Essex,Private,3,Pbs Care Homes Ltd
Children's home,North West,Halton,Private,2,Future Focused Ltd
Children's home,East Midlands,Leicester,Local Authority,6,Leicester City Council
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,North West,Knowsley,Private,2,Lytham Care Ltd
Adoption Support Agency,South East,Hampshire,Private,,Cmb Counselling
Children's home,North West,Lancashire,Private,2,New Horizons (nw) ltd
Children's home,London,Merton,Private,4,Children Of The Mangrove Limited
Children's home,East of England,Central Bedfordshire,Private,4,Benjamin Uk Ltd
Children's home,North West,Lancashire,Private,5,Sandcastle Care Ltd
Children's home,North West,Lancashire,Private,2,Care 4 Children Holdco Limited
Residential special school (registered as a children's home),East Midlands,Lincolnshire,Private,16,Longboat Special Education Ltd
Children's home,South East,Kent,Private,3,Moonreach Limited
Children's home,West Midlands,Warwickshire,Private,4,Ivory Cottage Ltd
Children's home,North West,Cumbria,Private,6,A Wilderness Way Ltd
Children's home,West Midlands,Shropshire,Private,3,Bryn Melyn Care Limited
Children's home,North West,Lancashire,Private,4,Hopscotch Care Ltd
Children's home,West Midlands,Worcestershire,Private,2,Keys Specialist Residential Children's Services Ltd
Children's home,East Midlands,Northamptonshire,Private,1,Homes 2 Inspire Limited
Voluntary Adoption Agency,West Midlands,Sandwell,Voluntary,,Sandwell Children's Trust
Children's home,South West,Devon,Private,2,Impact For Change Ltd
Residential Special School,South East,Oxfordshire,Private,55,Swalcliffe Park School CIO
Boarding School,West Midlands,Wolverhampton,Academy,100,The Royal School Wolverhampton Academy Trust
Children's home,East Midlands,Nottingham,Local Authority,4,Nottingham City Council
Independent Fostering Agency,London,Redbridge,Private,,Shared Care Services Limited
Children's home,West Midlands,Birmingham,Private,4,Care And Management Services Limited
Residential Special School,East of England,Cambridgeshire,Private,14,Cavendish Education and Training Limited
Children's home,West Midlands,Staffordshire,Private,3,Roundhouse Care Ltd
Children's home,"North East, Yorkshire and the Humber",Wakefield,Local Authority,7,Wakefield Metropolitan District Council
Children's home,North West,Tameside,Private,5,Cambian Childcare Ltd
Children's home,North West,Sefton,Private,4,Independent Living Services (North West) Limited
Children's home,North West,Knowsley,Private,3,Progressive Futures Care Limited
Children's home,East of England,Hertfordshire,Local Authority,5,Hertfordshire County Council
Children's home,East of England,Essex,Private,4,Surecare Residential Ltd
Children's home,South West,Somerset,Private,2,Blackford Education (schools) Ltd
Independent Fostering Agency,South East,Milton Keynes,Private,,Orange Grove Fostercare Ltd
Children's home,South West,Plymouth,Private,1,South West Childcare Services
Independent Fostering Agency,East of England,Thurrock,Private,,Young People At Heart Limited
Independent Fostering Agency,North West,Lancashire,Private,,Fostering Ltd
Independent Fostering Agency,London,Brent,Private,,Apple Fostering Ltd
Residential special school (registered as a children's home),East of England,Norfolk,Private,8,SES Turnstone Limited
Children's home,"North East, Yorkshire and the Humber",Barnsley,Local Authority,5,Barnsley Metropolitan Borough Council
Children's home,South West,Devon,Private,4,Cambian Signpost Limited
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Doncaster,Private,,Young People At Heart Limited
Children's home,East Midlands,Nottinghamshire,Private,1,Esland North Limited
Children's home,South East,Hampshire,Private,3,Calcot Services For Children Ltd
Children's home,East Midlands,Derbyshire,Local Authority,2,Derbyshire County Council
Children's home,West Midlands,Staffordshire,Private,2,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,2,Hexagon Care Services Limited
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,5,The Partnership Of Care Today
Children's home,North West,Cumbria,Private,9,North Lakes Children's Services Limited
Children's home,East Midlands,Nottingham,Private,4,Pathway Care Solutions Ltd
Adoption Support Agency,London,Haringey,Private,,
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,West Midlands,Shropshire,Private,1,Reflexion Care Group Limited
Residential special school (registered as a children's home),East Midlands,Derbyshire,Private,55,The Senad Group Limited
Children's home,West Midlands,Shropshire,Private,1,Bryn Melyn Care Limited
Children's home,West Midlands,Shropshire,Private,1,Bryn Melyn Care Limited
Children's home,North West,Liverpool,Private,2,Keys Group Progressive Care & Education Limited
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Children's home,West Midlands,Sandwell,Private,3,Motivations Activity Projects Ltd
Children's home,North West,Halton,Private,1,Cambian Childcare Ltd
Children's home,North West,Cumbria,Private,5,North Lakes Children's Services Limited
Children's home,East of England,Central Bedfordshire,Voluntary,5,MacIntyre Care
Children's home,North West,Rochdale,Private,2,Timeout Childrens Homes Ltd
Children's home,North West,Lancashire,Private,4,My3 Limited
Children's home,South East,Hampshire,Private,5,New Forest Care
Children's home,North West,Salford,Voluntary,5,The Together Trust
Children's home,North West,Lancashire,Private,2,Inspire Childrens Services
Children's home,West Midlands,Warwickshire,Voluntary,5,Action For Children
Children's home,West Midlands,Staffordshire,Private,10,Caretech Community Services Limited
Children's home,West Midlands,Staffordshire,Private,3,The Partnership Of Care Today
Boarding School,North West,Blackburn with Darwen,Private,250,Jamiatul-Ilm Wal-Huda UK
Children's home,North West,Lancashire,Private,1,Care Afloat Ltd
Residential Special School,East Midlands,Leicester,Academy,18,Ash Field Academy Trust
Residential Special School,North West,Cheshire West and Chester,Local Authority,36,Cheshire West And Chester Council
Children's home,North West,Wigan,Local Authority,4,Wigan Council
Children's home,"North East, Yorkshire and the Humber",North Tyneside,Local Authority,5,North Tyneside Council
Children's home,East of England,Essex,Private,4,Potton Homes Ltd
Independent Fostering Agency,South East,West Sussex,Private,,Orange Grove Fostercare Ltd
Independent Fostering Agency,West Midlands,Stoke-on-Trent,Private,,Orange Grove Fostercare Ltd
Children's home,South East,East Sussex,Private,5,PJL Healthcare Limited
Children's home,North West,Halton,Private,1,Keys Child Care Ltd
Children's home,East Midlands,Derby,Local Authority,5,Derby City Council
Residential Family Centre,East Midlands,Derbyshire,Private,6,Progressive Care Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,Invested Childcare Ltd
Children's home,South West,Somerset,Private,3,De Novo Care Ltd
Independent Fostering Agency,London,Hounslow,Private,,Silver Lining Fostering Ltd.
Children's home,East Midlands,Nottinghamshire,Private,6,Kisimul Group Ltd
Children's home,East of England,Norfolk,Private,6,PCT Care Services Limited
Children's home,West Midlands,Staffordshire,Private,2,Aspireone Care Ltd
Children's home,East Midlands,Lincolnshire,Private,4,Unique Care Homes Support Limited
Children's home,West Midlands,Shropshire,Private,1,Keys Nhcc Ltd
Children's home,East of England,Central Bedfordshire,Private,5,Kattz (yh) Ltd
Children's home,South East,Kent,Local Authority,3,Kent County Council
Children's home,North West,Blackpool,Private,2,Sandcastle Care Ltd
Children's home,East of England,Norfolk,Private,6,The Ryes College Limited
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,1,Vcare - 24 Limited
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,North West,Stockport,Private,2,Social Care Services ( clayton ) Ltd
Independent Fostering Agency,London,Southwark,Voluntary,,Institute of Integrated Systemic Therapy
Children's home,South East,Southampton,Private,7,Keys Group Progressive Care & Education Limited
Children's home,South East,Southampton,Private,5,Keys Group Progressive Care & Education Limited
Independent Fostering Agency,South West,Bristol,Private,,Amicus Foster Care Limited
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Children's home,East of England,Central Bedfordshire,Local Authority,4,Central Bedfordshire Council
Adoption Support Agency,South East,West Sussex,Private,,
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Private,8,Enhanced Young Persons Care Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Sheffield,Private,,Chrysalis Consortium Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,South East,Milton Keynes,Private,3,Esland North Limited
Children's home,South West,Swindon,Private,5,Park Blue Homes Limited
Children's home,West Midlands,Staffordshire,Private,3,Reflexion Care Group Limited
Children's home,West Midlands,Staffordshire,Private,2,Aspireone Care Ltd
Children's home,South East,East Sussex,Private,2,Anderida Adolescent Care Ltd
Children's home,South West,Devon,Private,1,One To One Crisis Intervention Ltd
Residential Holiday Scheme for Disabled Children,East of England,Essex,Private,,Lambourne End Ltd
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,3,Hexagon Care Services Limited
Children's home,North West,Blackpool,Private,2,Outbound Care Ltd
Children's home,North West,Lancashire,Private,1,Hopscotch Care Ltd
Children's home,East Midlands,Derby,Private,2,5ab Care Ltd
Children's home,West Midlands,Wolverhampton,Private,4,Keys Care Ltd
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,South West,Somerset,Private,3,Keys Educational Services Limited
Children's home,West Midlands,Birmingham,Private,3,Nh Care Limited
Children's home,West Midlands,Shropshire,Private,3,Reflexion Care Group Limited
Children's home,North West,Cumbria,Voluntary,5,Carlisle Mencap Ltd
Children's home,North West,Lancashire,Private,6,Care 4 Children Residential Services Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,4,Horizon Care and Education Group Limited
Children's home,South East,Hampshire,Private,4,Priory Education Services Limited
Residential Special School,North West,Wirral,Voluntary,35,West Kirby Residential School
Children's home,West Midlands,Dudley,Private,5,Cambian Childcare Ltd
Children's home,East Midlands,Leicestershire,Private,7,Almond Care Children's Services Limited
